tech,post_id,url,view_count,title
php,38948,https://stackoverflow.com/questions/38948,635,PHP and Java EE Backend
java ee,38948,https://stackoverflow.com/questions/38948,635,PHP and Java EE Backend
java,38948,https://stackoverflow.com/questions/38948,635,PHP and Java EE Backend
java,38949,https://stackoverflow.com/questions/38949,1016,cross platform unicode support
perl,38949,https://stackoverflow.com/questions/38949,1016,cross platform unicode support
macos,38955,https://stackoverflow.com/questions/38955,836,Is it possible to get the maximum supported resolution of a connected display in os x from java?
java,38955,https://stackoverflow.com/questions/38955,836,Is it possible to get the maximum supported resolution of a connected display in os x from java?
python,38960,https://stackoverflow.com/questions/38960,343780,How to find out if a file exists in C# / .NET?
c#,38960,https://stackoverflow.com/questions/38960,343780,How to find out if a file exists in C# / .NET?
.net,38960,https://stackoverflow.com/questions/38960,343780,How to find out if a file exists in C# / .NET?
perl,38960,https://stackoverflow.com/questions/38960,343780,How to find out if a file exists in C# / .NET?
python,38987,https://stackoverflow.com/questions/38987,3305173,How do I merge two dictionaries in a single expression in Python?
jquery,38998,https://stackoverflow.com/questions/38998,1968,Can I stop .NET eating IDs?
prototype,38998,https://stackoverflow.com/questions/38998,1968,Can I stop .NET eating IDs?
.net,38998,https://stackoverflow.com/questions/38998,1968,Can I stop .NET eating IDs?
less,38998,https://stackoverflow.com/questions/38998,1968,Can I stop .NET eating IDs?
c#,38998,https://stackoverflow.com/questions/38998,1968,Can I stop .NET eating IDs?
javascript,38998,https://stackoverflow.com/questions/38998,1968,Can I stop .NET eating IDs?
nunit,39003,https://stackoverflow.com/questions/39003,11786,NUnit - How to test all classes that implement a particular interface
c#,39003,https://stackoverflow.com/questions/39003,11786,NUnit - How to test all classes that implement a particular interface
.net,39003,https://stackoverflow.com/questions/39003,11786,NUnit - How to test all classes that implement a particular interface
windows,39006,https://stackoverflow.com/questions/39006,5952,"Error: ""VirtualHost *:80 -- mixing * ports and non-* ports with a NameVirtualHost address is not supported, proceeding with undefined results"""
resharper,39007,https://stackoverflow.com/questions/39007,1352,Speeding up XAML editing in VS2008
jboss,39053,https://stackoverflow.com/questions/39053,8518,Accessing Datasource from Outside A Web Container (through JNDI)
oracle,39053,https://stackoverflow.com/questions/39053,8518,Accessing Datasource from Outside A Web Container (through JNDI)
xml,39053,https://stackoverflow.com/questions/39053,8518,Accessing Datasource from Outside A Web Container (through JNDI)
windows,39059,https://stackoverflow.com/questions/39059,9648,How do I run my app with large pages in Windows?
windows server,39059,https://stackoverflow.com/questions/39059,9648,How do I run my app with large pages in Windows?
.net,39064,https://stackoverflow.com/questions/39064,2636,Very simple C++ DLL that can be called from .net
c++,39064,https://stackoverflow.com/questions/39064,2636,Very simple C++ DLL that can be called from .net
asp.net,39065,https://stackoverflow.com/questions/39065,22299,Referencing resource files from multiple projects in a solution
c#,39065,https://stackoverflow.com/questions/39065,22299,Referencing resource files from multiple projects in a solution
macos,39066,https://stackoverflow.com/questions/39066,45794,Move all windows to a single monitor (with two attached) in Mac OS X?
mac os x,39066,https://stackoverflow.com/questions/39066,45794,Move all windows to a single monitor (with two attached) in Mac OS X?
windows,39066,https://stackoverflow.com/questions/39066,45794,Move all windows to a single monitor (with two attached) in Mac OS X?
asp.net,39070,https://stackoverflow.com/questions/39070,3033,"Programmable, secure FTP replacement"
python,39086,https://stackoverflow.com/questions/39086,630471,Search and replace a line in a file in Python
windows,39092,https://stackoverflow.com/questions/39092,6934,OpenGL or Direct3D for a new Windows game project? Or something else?
python,39104,https://stackoverflow.com/questions/39104,35042,Finding a file in a Python module distribution
hack,39104,https://stackoverflow.com/questions/39104,35042,Finding a file in a Python module distribution
windows,39107,https://stackoverflow.com/questions/39107,13742,Tools for degrading my network connection?
java,39108,https://stackoverflow.com/questions/39108,1661,Drawing animations at the show of a JDialog
asp.net,39112,https://stackoverflow.com/questions/39112,42690,What is the best way to lock cache in asp.net?
.net,39112,https://stackoverflow.com/questions/39112,42690,What is the best way to lock cache in asp.net?
c#,39112,https://stackoverflow.com/questions/39112,42690,What is the best way to lock cache in asp.net?
c#,39116,https://stackoverflow.com/questions/39116,15787,Linking statically in C#
.net,39119,https://stackoverflow.com/questions/39119,6247,How can I control checkboxes in a .Net Forms.TreeView?
mysql,39121,https://stackoverflow.com/questions/39121,586,How do I begin beta testing?
php,39121,https://stackoverflow.com/questions/39121,586,How do I begin beta testing?
c#,39125,https://stackoverflow.com/questions/39125,1483,How can a .net class libraries be protected so it cant be referenced by other applications?
.net,39125,https://stackoverflow.com/questions/39125,1483,How can a .net class libraries be protected so it cant be referenced by other applications?
macos,39135,https://stackoverflow.com/questions/39135,11000,Can you have virtual users using an SFTP server?
mac os x,39135,https://stackoverflow.com/questions/39135,11000,Can you have virtual users using an SFTP server?
intellij idea,39187,https://stackoverflow.com/questions/39187,153092,How do I install a color theme for IntelliJ IDEA 7.0.x
java,39194,https://stackoverflow.com/questions/39194,2377,Do I need a Mac to make a Java application bundle?
bundler,39194,https://stackoverflow.com/questions/39194,2377,Do I need a Mac to make a Java application bundle?
linux,39194,https://stackoverflow.com/questions/39194,2377,Do I need a Mac to make a Java application bundle?
mac os x,39194,https://stackoverflow.com/questions/39194,2377,Do I need a Mac to make a Java application bundle?
xcode,39194,https://stackoverflow.com/questions/39194,2377,Do I need a Mac to make a Java application bundle?
macos,39194,https://stackoverflow.com/questions/39194,2377,Do I need a Mac to make a Java application bundle?
windows,39194,https://stackoverflow.com/questions/39194,2377,Do I need a Mac to make a Java application bundle?
mysql,39196,https://stackoverflow.com/questions/39196,3276,group_concat query performance
sql,39196,https://stackoverflow.com/questions/39196,3276,group_concat query performance
visual studio,39222,https://stackoverflow.com/questions/39222,3032,Portably handle exceptional errors in C++
linux,39222,https://stackoverflow.com/questions/39222,3032,Portably handle exceptional errors in C++
c++,39222,https://stackoverflow.com/questions/39222,3032,Portably handle exceptional errors in C++
visual studio,39229,https://stackoverflow.com/questions/39229,1201,Can I use other IDEs other than Visual Studio for coding in .net?
.net,39229,https://stackoverflow.com/questions/39229,1201,Can I use other IDEs other than Visual Studio for coding in .net?
visual basic,39233,https://stackoverflow.com/questions/39233,6194,Directory picker for Visual Basic macro in MS Outlook 2007
windows,39233,https://stackoverflow.com/questions/39233,6194,Directory picker for Visual Basic macro in MS Outlook 2007
c#,4,https://stackoverflow.com/questions/4,76733,How to convert Decimal to Double in C#?
firefox,6,https://stackoverflow.com/questions/6,24503,Why did the width collapse in the percentage width child element in an absolutely positioned parent on Internet Explorer 7?
c#,9,https://stackoverflow.com/questions/9,827598,How do I calculate someone's age based on a DateTime type birthday?
.net,9,https://stackoverflow.com/questions/9,827598,How do I calculate someone's age based on a DateTime type birthday?
c#,11,https://stackoverflow.com/questions/11,202800,Calculate relative time in C#
eclipse,1261,https://stackoverflow.com/questions/1261,43004,What are the advantages of using SVN over CVS?
java,1261,https://stackoverflow.com/questions/1261,43004,What are the advantages of using SVN over CVS?
.net,21184,https://stackoverflow.com/questions/21184,8375,How do I use Linq for paging a generic collection?
c#,40054,https://stackoverflow.com/questions/40054,1391,How can I update in Linq an entity that is disconnected from database?
windows,4519,https://stackoverflow.com/questions/4519,41201,Using Xming X Window Server over a VPN
oracle,10499,https://stackoverflow.com/questions/10499,238802,Oracle - What TNS Names file am I using?
python,34439,https://stackoverflow.com/questions/34439,722838,Finding what methods a Python object has
git,37219,https://stackoverflow.com/questions/37219,139074,How do you remove a specific revision in the git history?
visual studio,9204,https://stackoverflow.com/questions/9204,11693,IL level code debugger
assembly language,9204,https://stackoverflow.com/questions/9204,11693,IL level code debugger
.net,9204,https://stackoverflow.com/questions/9204,11693,IL level code debugger
sql,6369,https://stackoverflow.com/questions/6369,52340,How to pass a comma separated list to a stored procedure?
python,6371,https://stackoverflow.com/questions/6371,43195,"How do you manage databases in development, test, and production?"
mysql,6371,https://stackoverflow.com/questions/6371,43195,"How do you manage databases in development, test, and production?"
sql,6371,https://stackoverflow.com/questions/6371,43195,"How do you manage databases in development, test, and production?"
.net,6371,https://stackoverflow.com/questions/6371,43195,"How do you manage databases in development, test, and production?"
sql,27206,https://stackoverflow.com/questions/27206,611,What are the benefits of using partitions with the Enterprise edition of SQL 2005
jquery,27219,https://stackoverflow.com/questions/27219,15572,Keeping key value pairs together in HTML <select/> with jQuery?
javascript,27219,https://stackoverflow.com/questions/27219,15572,Keeping key value pairs together in HTML <select/> with jQuery?
homebrew,33222,https://stackoverflow.com/questions/33222,2619,Compact Framework - Lightweight GUI Framework?
windows,33222,https://stackoverflow.com/questions/33222,2619,Compact Framework - Lightweight GUI Framework?
asp.net,33223,https://stackoverflow.com/questions/33223,831,"Is elegant, semantic CSS with ASP.Net still a pipe dream?"
sql,33226,https://stackoverflow.com/questions/33226,11126,"In SQL Server 2000, is there a sysobjects query that will retrieve user views and not system views?"
.net,36081,https://stackoverflow.com/questions/36081,3945,How to Catch an exception in a using block with .NET 2.0?
.net,28478,https://stackoverflow.com/questions/28478,4786,"If, IIf() and If()"
visual studio,28481,https://stackoverflow.com/questions/28481,1128,What is the purpose of the designer files in Visual Studio 2008 Web application projects?
python,13396,https://stackoverflow.com/questions/13396,665,Replacement for for... if array iteration
c#,13396,https://stackoverflow.com/questions/13396,665,Replacement for for... if array iteration
.net,13396,https://stackoverflow.com/questions/13396,665,Replacement for for... if array iteration
java,30171,https://stackoverflow.com/questions/30171,7002,Why won't .NET deserialize my primitive array from a web service?
c#,30171,https://stackoverflow.com/questions/30171,7002,Why won't .NET deserialize my primitive array from a web service?
.net,30171,https://stackoverflow.com/questions/30171,7002,Why won't .NET deserialize my primitive array from a web service?
powershell,22524,https://stackoverflow.com/questions/22524,37681,Execute shortcuts like programs
php,22528,https://stackoverflow.com/questions/22528,3237,PHP includes vs OOP
less,22528,https://stackoverflow.com/questions/22528,3237,PHP includes vs OOP
php,46074,https://stackoverflow.com/questions/46074,367,Redirect from domain name to a dotted quad hosted box
asp.net,46074,https://stackoverflow.com/questions/46074,367,Redirect from domain name to a dotted quad hosted box
jquery,46079,https://stackoverflow.com/questions/46079,4566,What is the best approach for (client-side) disabling of a submit button?
asp.net,46079,https://stackoverflow.com/questions/46079,4566,What is the best approach for (client-side) disabling of a submit button?
javascript,46079,https://stackoverflow.com/questions/46079,4566,What is the best approach for (client-side) disabling of a submit button?
.net,46079,https://stackoverflow.com/questions/46079,4566,What is the best approach for (client-side) disabling of a submit button?
stack overflow,43180,https://stackoverflow.com/questions/43180,125754,What are some resources for getting started in operating system development?
c#,43180,https://stackoverflow.com/questions/43180,125754,What are some resources for getting started in operating system development?
visual studio,43180,https://stackoverflow.com/questions/43180,125754,What are some resources for getting started in operating system development?
linux,43180,https://stackoverflow.com/questions/43180,125754,What are some resources for getting started in operating system development?
google,43180,https://stackoverflow.com/questions/43180,125754,What are some resources for getting started in operating system development?
windows,43180,https://stackoverflow.com/questions/43180,125754,What are some resources for getting started in operating system development?
.net,15015,https://stackoverflow.com/questions/15015,7210,Web Application Testing for .Net (WatiN Test Recorder)
c#,15023,https://stackoverflow.com/questions/15023,3539,How to get list of installed BitmapEncoders/Decoders (the WPF world)?
vault,15024,https://stackoverflow.com/questions/15024,1708,"Tools to help a small shop score higher on the ""Joel Test"""
java,44853,https://stackoverflow.com/questions/44853,22750,Why am I getting a ClassCastException when generating javadocs?
mysql,1276,https://stackoverflow.com/questions/1276,227922,How big can a MySQL database get before performance starts to degrade
sql,1284,https://stackoverflow.com/questions/1284,9555,Catching SQL Injection and other Malicious Web Requests
.net,1284,https://stackoverflow.com/questions/1284,9555,Catching SQL Injection and other Malicious Web Requests
.net,1292,https://stackoverflow.com/questions/1292,36962,Limit size of Queue<T> in .NET?
asp.net,41824,https://stackoverflow.com/questions/41824,45077,How do I prevent the closing of modal popup window(ModalPopupExtender) on postback?
visual studio,41832,https://stackoverflow.com/questions/41832,1076,Maintain the correct version for a COM dll referenced in a .NET project
.net,41832,https://stackoverflow.com/questions/41832,1076,Maintain the correct version for a COM dll referenced in a .NET project
c++,41832,https://stackoverflow.com/questions/41832,1076,Maintain the correct version for a COM dll referenced in a .NET project
c++,27220,https://stackoverflow.com/questions/27220,233106,How to convert std::string to LPCWSTR in C++ (Unicode)
php,27222,https://stackoverflow.com/questions/27222,8857,DOM manipulation in PHP
javascript,27222,https://stackoverflow.com/questions/27222,8857,DOM manipulation in PHP
xml,27222,https://stackoverflow.com/questions/27222,8857,DOM manipulation in PHP
.net,14,https://stackoverflow.com/questions/14,185123,Difference between Math.Floor() and Math.Truncate()
c#,16,https://stackoverflow.com/questions/16,88393,Filling a DataSet or a DataTable from a LINQ query result set
mysql,17,https://stackoverflow.com/questions/17,87599,Binary Data in MySQL
sql,39240,https://stackoverflow.com/questions/39240,1509,"""Similar Posts"" like functionality using MS SQL Server?"
java,10506,https://stackoverflow.com/questions/10506,1858,Weird DB2 issue with DBUnit
xml,10506,https://stackoverflow.com/questions/10506,1858,Weird DB2 issue with DBUnit
php,10515,https://stackoverflow.com/questions/10515,2031,What do I need to run PHP applications on IIS?
windows,10515,https://stackoverflow.com/questions/10515,2031,What do I need to run PHP applications on IIS?
sql,25499,https://stackoverflow.com/questions/25499,6288,What's the simplest way to execute a query in Visual C++
c++,25499,https://stackoverflow.com/questions/25499,6288,What's the simplest way to execute a query in Visual C++
.net,1300,https://stackoverflow.com/questions/1300,4052,Is nAnt still supported and suitable for .net 3.5/VS2008?
c#,1304,https://stackoverflow.com/questions/1304,240613,How to check for file lock?
.net,1304,https://stackoverflow.com/questions/1304,240613,How to check for file lock?
ruby,1306,https://stackoverflow.com/questions/1306,12787,How do I use (n)curses in Ruby?
jquery,18077,https://stackoverflow.com/questions/18077,6917,The best way of checking for -moz-border-radius support
javascript,18077,https://stackoverflow.com/questions/18077,6917,The best way of checking for -moz-border-radius support
java,27240,https://stackoverflow.com/questions/27240,21475,Why aren't Enumerations Iterable?
jquery,27242,https://stackoverflow.com/questions/27242,28858,Where can I learn jQuery? Is it worth it?
underscore,27242,https://stackoverflow.com/questions/27242,28858,Where can I learn jQuery? Is it worth it?
stack overflow,27242,https://stackoverflow.com/questions/27242,28858,Where can I learn jQuery? Is it worth it?
coffeescript,27242,https://stackoverflow.com/questions/27242,28858,Where can I learn jQuery? Is it worth it?
php,27242,https://stackoverflow.com/questions/27242,28858,Where can I learn jQuery? Is it worth it?
backbone.js,27242,https://stackoverflow.com/questions/27242,28858,Where can I learn jQuery? Is it worth it?
jquery ui,27242,https://stackoverflow.com/questions/27242,28858,Where can I learn jQuery? Is it worth it?
google,27242,https://stackoverflow.com/questions/27242,28858,Where can I learn jQuery? Is it worth it?
javascript,27242,https://stackoverflow.com/questions/27242,28858,Where can I learn jQuery? Is it worth it?
visual studio,46084,https://stackoverflow.com/questions/46084,1118,Remote debugging an NT application from XP with Visual Studio 6.0
windows,46084,https://stackoverflow.com/questions/46084,1118,Remote debugging an NT application from XP with Visual Studio 6.0
c++,46084,https://stackoverflow.com/questions/46084,1118,Remote debugging an NT application from XP with Visual Studio 6.0
php,41836,https://stackoverflow.com/questions/41836,953,Setting include path in PHP intermittently fails
sql,41837,https://stackoverflow.com/questions/41837,45449,Cost of Inserts vs Update in SQL Server
oracle,41838,https://stackoverflow.com/questions/41838,1219,Black Box testing software
c++,41838,https://stackoverflow.com/questions/41838,1219,Black Box testing software
yaml,41839,https://stackoverflow.com/questions/41839,281,What is a good markup language to use for tests?
rails,41839,https://stackoverflow.com/questions/41839,281,What is a good markup language to use for tests?
c#,41842,https://stackoverflow.com/questions/41842,6327,"PDB files for production app and the ""Optimize code"" flag"
mysql,24,https://stackoverflow.com/questions/24,105586,Throw an error preventing a table update in a MySQL trigger
sql,7579,https://stackoverflow.com/questions/7579,117846,Reorganise index vs Rebuild Index in Sql Server Maintenance plan
less,7579,https://stackoverflow.com/questions/7579,117846,Reorganise index vs Rebuild Index in Sql Server Maintenance plan
c#,7586,https://stackoverflow.com/questions/7586,4144,How do I generate WPF controls through code
.net,7586,https://stackoverflow.com/questions/7586,4144,How do I generate WPF controls through code
linux,27247,https://stackoverflow.com/questions/27247,36451,Could you recommend some guides about Epoll on Linux
c++,27247,https://stackoverflow.com/questions/27247,36451,Could you recommend some guides about Epoll on Linux
javascript,7592,https://stackoverflow.com/questions/7592,36072,Can I use JavaScript to create a client side email?
java,7596,https://stackoverflow.com/questions/7596,26099,"How should I structure a Java application, where do I put my classes?"
c#,39276,https://stackoverflow.com/questions/39276,57373,.NET Scanning API
.net,39276,https://stackoverflow.com/questions/39276,57373,.NET Scanning API
sql,39281,https://stackoverflow.com/questions/39281,46030,Database Design for Revisions?
xml,39281,https://stackoverflow.com/questions/39281,46030,Database Design for Revisions?
c#,37248,https://stackoverflow.com/questions/37248,10311,C# Preprocessor
wordpress,31535,https://stackoverflow.com/questions/31535,542,Best way to fetch a varying HTML tag
java,31535,https://stackoverflow.com/questions/31535,542,Best way to fetch a varying HTML tag
blogger,31535,https://stackoverflow.com/questions/31535,542,Best way to fetch a varying HTML tag
sql,4529,https://stackoverflow.com/questions/4529,25930,SQL Server 2005 and 2008 on same developer machine?
c++,25,https://stackoverflow.com/questions/25,16412,How to use the C socket API in C++ on z/OS
linux,27253,https://stackoverflow.com/questions/27253,4039,Is there a tool for reformatting C# code?
c#,27253,https://stackoverflow.com/questions/27253,4039,Is there a tool for reformatting C# code?
jquery,27258,https://stackoverflow.com/questions/27258,4710,ASP.NET JavaScript Callbacks Without Full PostBacks?
asp.net,27258,https://stackoverflow.com/questions/27258,4710,ASP.NET JavaScript Callbacks Without Full PostBacks?
javascript,27258,https://stackoverflow.com/questions/27258,4710,ASP.NET JavaScript Callbacks Without Full PostBacks?
php,7603,https://stackoverflow.com/questions/7603,7825,Where can I find some good WS-Security introductions and tutorials?
.net,7603,https://stackoverflow.com/questions/7603,7825,Where can I find some good WS-Security introductions and tutorials?
nunit,1314,https://stackoverflow.com/questions/1314,2076,Using MSTest with CruiseControl.NET
visual studio,1314,https://stackoverflow.com/questions/1314,2076,Using MSTest with CruiseControl.NET
sql,31559,https://stackoverflow.com/questions/31559,14895,Any thoughts on DevExpress XPO ORM Package?
windows,31559,https://stackoverflow.com/questions/31559,14895,Any thoughts on DevExpress XPO ORM Package?
c#,31559,https://stackoverflow.com/questions/31559,14895,Any thoughts on DevExpress XPO ORM Package?
smalltalk,19387,https://stackoverflow.com/questions/19387,2236,Rich GUI OS X Frameworks?
java,19387,https://stackoverflow.com/questions/19387,2236,Rich GUI OS X Frameworks?
asp.net,19387,https://stackoverflow.com/questions/19387,2236,Rich GUI OS X Frameworks?
.net,19387,https://stackoverflow.com/questions/19387,2236,Rich GUI OS X Frameworks?
macos,19387,https://stackoverflow.com/questions/19387,2236,Rich GUI OS X Frameworks?
c#,19387,https://stackoverflow.com/questions/19387,2236,Rich GUI OS X Frameworks?
php,19388,https://stackoverflow.com/questions/19388,3503,GOTO command in PHP?
actionscript,34,https://stackoverflow.com/questions/34,11672,How to unload a ByteArray using Actionscript 3?
sql,36,https://stackoverflow.com/questions/36,78517,Check for changes to an SQL Server table?
.net,36,https://stackoverflow.com/questions/36,78517,Check for changes to an SQL Server table?
c#,39,https://stackoverflow.com/questions/39,8237,Reliable timer in a console application
.net,39,https://stackoverflow.com/questions/39,8237,Reliable timer in a console application
c++,7614,https://stackoverflow.com/questions/7614,1124,Testing a function that throws on failure
emacs,31561,https://stackoverflow.com/questions/31561,536,Keeping CL and Scheme straight in your head
sql,31566,https://stackoverflow.com/questions/31566,2663,Query to list all tables that contain a specific column with SQL Server 2005
c#,31567,https://stackoverflow.com/questions/31567,12621,How to properly cast objects created through reflection
.net,31567,https://stackoverflow.com/questions/31567,12621,How to properly cast objects created through reflection
linux,27266,https://stackoverflow.com/questions/27266,6361,Avoid traffic shaping by using ssh on port 443
firefox,27267,https://stackoverflow.com/questions/27267,52065,Delete Amazon S3 buckets?
amazon s3,27267,https://stackoverflow.com/questions/27267,52065,Delete Amazon S3 buckets?
.net,4541,https://stackoverflow.com/questions/4541,1565,Simple MOLAP solution
firefox,4544,https://stackoverflow.com/questions/4544,1480,Http Auth in a Firefox 3 bookmarklet
javascript,4544,https://stackoverflow.com/questions/4544,1480,Http Auth in a Firefox 3 bookmarklet
xml,4544,https://stackoverflow.com/questions/4544,1480,Http Auth in a Firefox 3 bookmarklet
windows,1329,https://stackoverflow.com/questions/1329,101345,What is a better file copy alternative than the Windows default?
.net,31572,https://stackoverflow.com/questions/31572,12114,Broadcast like UDP with the reliability of TCP
visual studio,15034,https://stackoverflow.com/questions/15034,18908,"Visual Studio Error: The ""GenerateResource"" task failed unexpectedly"
windows,15034,https://stackoverflow.com/questions/15034,18908,"Visual Studio Error: The ""GenerateResource"" task failed unexpectedly"
php,42,https://stackoverflow.com/questions/42,40824,Best way to allow plugins for a PHP application
javascript,4556,https://stackoverflow.com/questions/4556,8063,DataTable Loop Performance Comparison
c#,4556,https://stackoverflow.com/questions/4556,8063,DataTable Loop Performance Comparison
c#,31581,https://stackoverflow.com/questions/31581,10327,How scalable is System.Threading.Timer?
.net,31581,https://stackoverflow.com/questions/31581,10327,How scalable is System.Threading.Timer?
java,31584,https://stackoverflow.com/questions/31584,20520,Design: Java and returning self-reference in setter methods
c#,40075,https://stackoverflow.com/questions/40075,28398,Generic Map/Reduce List Extensions in C#
homebrew,33233,https://stackoverflow.com/questions/33233,314,Integrating a custom gui framework with the VS designer
windows,33233,https://stackoverflow.com/questions/33233,314,Integrating a custom gui framework with the VS designer
entity framework,10524,https://stackoverflow.com/questions/10524,15365,Expression.Invoke in Entity Framework?
.net,10524,https://stackoverflow.com/questions/10524,15365,Expression.Invoke in Entity Framework?
visual studio,31592,https://stackoverflow.com/questions/31592,222,How to get the libraries you need into the bin folder when using IoC/DI
javascript,36101,https://stackoverflow.com/questions/36101,346,How do I set the name of a window in ROR?
ruby,36101,https://stackoverflow.com/questions/36101,346,How do I set the name of a window in ROR?
java,36106,https://stackoverflow.com/questions/36106,3464,What are some alternatives to a bit array?
c#,16306,https://stackoverflow.com/questions/16306,5217,How to get only directory name from SaveFileDialog.FileName
windows,34463,https://stackoverflow.com/questions/34463,4955,Technical Hurdles for Win32 rsync port
eclipse,31598,https://stackoverflow.com/questions/31598,2307,Testing a client-server application
c#,10531,https://stackoverflow.com/questions/10531,1459,Using C# with OpenOffice through reflection
mysql,10532,https://stackoverflow.com/questions/10532,882,What's the preferred way to connect to a postgresql database from PHP?
postgresql,10532,https://stackoverflow.com/questions/10532,882,What's the preferred way to connect to a postgresql database from PHP?
php,10532,https://stackoverflow.com/questions/10532,882,What's the preferred way to connect to a postgresql database from PHP?
prettier,37263,https://stackoverflow.com/questions/37263,1608,"Where does ""Change Management"" end and ""Project Failure"" begin?"
mercurial,27292,https://stackoverflow.com/questions/27292,1114,What is the best solution for maintaining backup and revision control on live websites?
windows,1376,https://stackoverflow.com/questions/1376,6757,Get the current logged in OS user in Adobe Air
php,22552,https://stackoverflow.com/questions/22552,1033,"Passing a commented, multi-line (freespace) regex to preg_match"
perl,22566,https://stackoverflow.com/questions/22566,64625,How do I read in the contents of a directory in Perl?
sql,22570,https://stackoverflow.com/questions/22570,64745,What's a good way to check if two datetimes are on the same calendar day in TSQL?
perl,10533,https://stackoverflow.com/questions/10533,4316,Parsing attributes with regex in Perl
c#,59,https://stackoverflow.com/questions/59,27375,"How do I get a distinct, ordered list of names from a DataTable using LINQ?"
sql,18080,https://stackoverflow.com/questions/18080,1200,Best traffic / performance / usage monitoring module?
asp.net,18080,https://stackoverflow.com/questions/18080,1200,Best traffic / performance / usage monitoring module?
c#,18080,https://stackoverflow.com/questions/18080,1200,Best traffic / performance / usage monitoring module?
javascript,18082,https://stackoverflow.com/questions/18082,1573844,Validate decimal numbers in JavaScript - IsNumeric()
less,39304,https://stackoverflow.com/questions/39304,1175,Do C++ logging frameworks sacrifice reusability?
c++,39304,https://stackoverflow.com/questions/39304,1175,Do C++ logging frameworks sacrifice reusability?
firefox,34476,https://stackoverflow.com/questions/34476,701,What is in your JavaScript development toolbox?
shell,34476,https://stackoverflow.com/questions/34476,701,What is in your JavaScript development toolbox?
javascript,34476,https://stackoverflow.com/questions/34476,701,What is in your JavaScript development toolbox?
firefox,34486,https://stackoverflow.com/questions/34486,354,What more is needed for Ajax than this function
javascript,34486,https://stackoverflow.com/questions/34486,354,What more is needed for Ajax than this function
java,37271,https://stackoverflow.com/questions/37271,3998,What's the best way to persist data in a Java Desktop Application?
